date,value
2021-06-03,99650.04938297103
2021-06-04,99987.32859592269
2021-06-07,100363.53906998762
2021-06-08,100461.53898285779
2021-06-09,100787.9851193324
2021-06-10,101288.66420092955
2021-06-11,101398.28022072218
2021-06-14,102275.80330053202
2021-06-15,101555.68807378641
2021-06-16,101299.00071111551
2021-06-17,102225.9061371409
2021-06-18,101819.86656347147
2021-06-21,102665.8495041453
2021-06-22,103464.31180730692
2021-06-23,103880.84460607401
2021-06-24,104651.16010442606
2021-06-25,104182.6173645579
2021-06-28,105161.34954992167
2021-06-29,105371.7133347117
2021-06-30,105243.93857000279
2021-07-01,105517.62104986119
2021-07-02,107070.6839618485
2021-07-06,107232.29912291872
2021-07-07,108024.1707965027
2021-07-08,107311.0446826111
2021-07-09,107776.95772277223
2021-07-12,107920.62073241579
2021-07-13,108323.43454467165
2021-07-14,109329.91399108278
2021-07-15,108838.7673388611
2021-07-16,108604.58559142458
2021-07-19,106897.43777953493
2021-07-20,107895.7478438341
2021-07-21,108306.2214916244
2021-07-22,109102.88040460399
2021-07-23,110828.39924256044
2021-07-26,111200.29847351747
2021-07-27,109419.84424988466
2021-07-28,109036.27864618844
2021-07-29,108239.33545466012
2021-07-30,107928.84686823434
2021-08-02,108104.6408593232
2021-08-03,108387.67154848229
2021-08-04,108251.01538466569
2021-08-05,108730.94586672411
2021-08-06,108479.92682020414
2021-08-09,108821.03672734759
2021-08-10,108464.1041867129
2021-08-11,108452.12041649316
2021-08-12,109320.48861107323
2021-08-13,109636.40644918232
2021-08-16,109777.45924459248
2021-08-17,108843.86744771746
2021-08-18,107620.90921312463
2021-08-19,108346.5862594391
2021-08-20,109582.30417022691
2021-08-23,110373.37408804995
2021-08-24,110409.28796744448
2021-08-25,110331.91148734195
2021-08-26,109566.43472864656
2021-08-27,110485.03981592684
2021-08-30,111797.68155481844
2021-08-31,111518.42054722975
2021-09-01,111678.65644810865
2021-09-02,111340.05819676588
2021-09-03,111583.0651518878
2021-09-07,112346.99549551573
2021-09-08,111978.73389883604
2021-09-09,111616.09873648253
2021-09-10,109720.55109854307
2021-09-13,110486.32827751414
2021-09-14,110563.97656221136
2021-09-15,111525.84857567945
2021-09-16,111394.05161957082
2021-09-17,110104.68498138722
2021-09-20,108486.4346190834
2021-09-21,108687.03597793517
2021-09-22,108951.53030166564
2021-09-23,109070.50151177472
2021-09-24,109472.39931112525
2021-09-27,109038.01389516129
2021-09-28,107620.6985128378
2021-09-29,107676.9485128378
2021-09-30,107589.49871425382
2021-10-01,107585.59856776944
2021-10-04,107680.24853114835
2021-10-05,107666.14757899991
2021-10-06,107698.54763393155
2021-10-07,107849.3379480922
2021-10-08,107654.13022015285
2021-10-11,107627.79470989894
2021-10-12,107521.8893449087
2021-10-13,107799.75266597155
2021-10-14,108543.10654811109
2021-10-15,109080.25530785773
2021-10-18,110035.98440331672
2021-10-19,110440.96252845513
2021-10-20,110233.49330543267
2021-10-21,111152.97391885004
2021-10-22,110140.08747475824
2021-10-25,111788.73900612685
2021-10-26,112076.837303246
2021-10-27,114745.16077478438
2021-10-28,115879.53783434173
2021-10-29,117305.73934191008
2021-11-01,117306.81439989348
2021-11-02,117708.09094658634
2021-11-03,118841.47912547221
2021-11-04,119706.92170664897
2021-11-05,119761.09698435893
2021-11-08,118871.9944910728
2021-11-09,116700.36067149272
2021-11-10,114932.42057749857
2021-11-11,115196.42439893709
2021-11-12,116092.1494050406
2021-11-15,115867.28186670752
2021-11-16,116253.94697495771
2021-11-17,116673.01433825442
2021-11-18,117948.89687609622
2021-11-19,118804.8451488013
2021-11-22,118083.87311816165
2021-11-23,117326.27621576907
2021-11-24,117503.25091669681
2021-11-26,115024.58203283274
2021-11-29,116650.55175694854
2021-11-30,116709.7959433499
2021-12-01,115998.90722569854
2021-12-02,116003.08625707061
2021-12-03,116696.92444630436
2021-12-06,117426.5721208649
2021-12-07,117853.5864946442
2021-12-08,117971.31600966309
2021-12-09,119641.60244765137
2021-12-10,120461.85977733234
2021-12-13,120971.35898614617
2021-12-14,119936.71319574694
2021-12-15,120126.25547512708
2021-12-16,119639.65036889641
2021-12-17,118717.4854823442
2021-12-20,119603.88764298873
2021-12-21,118674.28092301803
2021-12-22,116737.71112931686
2021-12-23,115876.0578651429
2021-12-27,116834.07570266731
2021-12-28,116393.89987564094
2021-12-29,116483.23315811165
2021-12-30,116187.24734878547
